unixtime;apower
1771580560;251.3
1771580561;250.9
1771580562;256.2
1771580563;258.0
1771580565;251.4
1771580604;253.6
1771580606;247.0
1771580607;245.9
1771580608;245.8
1771580609;245.9
1771580610;244.0
1771580618;251.6
1771580619;248.5
1771580742;220.8
1771580743;219.4
1771580744;218.7
1771580745;219.9
1771580747;220.9
1771580965;249.3
1771580966;247.6
1771580967;248.9
1771580968;248.0
1771581002;242.6
1771581003;238.4
1771581004;240.4
1771581006;241.4
1771581007;242.3
1771581008;242.3
1771581009;242.0
1771581010;242.3
1771581011;248.5
1771581012;244.5
1771581014;246.5
1771581033;249.2
1771581066;244.8
